transmitted;node name;timestamp;message id;transmission success
transmitted;m3-65;1610709624699.811;151230;16
transmitted;m3-65;1610709658710.643;154631;13
transmitted;m3-65;1610709684630.3762;157223;17
transmitted;m3-65;1610709716400.7249;160400;15
transmitted;m3-65;1610709755442.675;164304;19
transmitted;m3-65;1610709763471.1968;165107;18
transmitted;m3-65;1610709796251.335;168385;20
transmitted;m3-65;1610709847201.0852;173480;19
transmitted;m3-65;1610709855450.4722;174305;17
transmitted;m3-65;1610709905690.689;179329;14
transmitted;m3-56;1610708145959.922;3352;15
transmitted;m3-56;1610708175366.844;6293;11
transmitted;m3-56;1610708214547.3188;10211;18
transmitted;m3-56;1610708246647.9001;13421;19
transmitted;m3-56;1610708263439.2751;15100;18
